timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659722400,Aug 05 2022 - 6:00pm,complete,N/A,İstanbulspor,Trabzonspor,Arda Kardeşler,1,0.00,0.00,1.17,0.94,0,2,2,1,0,1,"","16,86",1,10,2,0,2,0,1,1,0,2,5,17,3,6,1,7,13,11,52,48,0.00,0.00,0.73,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.47,3.87,1.71,1.25,1.79,2.96,5.61,1.80,1.91,Atatürk Olimpiyat Stadı (İstanbul)
1659802500,Aug 06 2022 - 4:15pm,complete,N/A,Sivasspor,Gazişehir Gaziantep,Ali Şansalan,1,0.00,0.00,1.22,0.67,1,1,2,1,0,1,"64","22",2,6,2,0,3,0,1,1,1,2,9,21,3,6,5,9,11,14,49,51,0.00,0.00,1.18,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.02,3.50,3.58,1.30,1.90,3.26,6.05,1.73,2.00,Yeni Sivas 4 Eylül Stadyumu (Sivas)
1659811500,Aug 06 2022 - 6:45pm,complete,N/A,Beşiktaş,Kayserispor,Ümit Öztürk,1,0.00,0.00,2.39,1.17,1,0,1,0,0,0,"90'6","",9,4,4,1,1,1,0,5,0,2,22,8,8,2,12,4,22,14,55,45,0.00,0.00,2.60,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.30,5.90,1.22,1.72,2.96,5.61,1.83,1.83,Vodafone Park (İstanbul)
1659888900,Aug 07 2022 - 4:15pm,complete,N/A,Fatih Karagümrük,Alanyaspor,Zorbay Küçük,1,0.00,0.00,1.44,0.72,2,4,6,2,0,2,"55,72","19,28,70,90'3",10,3,2,0,3,0,1,1,2,1,16,13,5,7,8,4,19,19,51,49,0.00,0.00,1.64,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.50,2.60,1.25,1.75,2.96,5.61,1.62,2.20,Atatürk Olimpiyat Stadı (İstanbul)
1659888900,Aug 07 2022 - 4:15pm,complete,N/A,Giresunspor,Adana Demirspor,Volkan Bayarslan,1,0.00,0.00,1.22,1.61,2,3,5,2,0,2,"56,90'1","23,28,82",6,1,3,0,2,0,2,1,0,2,20,12,9,5,7,5,21,16,51,49,0.00,0.00,2.07,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.50,2.20,1.25,1.80,2.96,5.61,1.62,2.20,Çotanak Stadyumu (Giresun)
1659897900,Aug 07 2022 - 6:45pm,complete,N/A,Antalyaspor,Galatasaray,Atilla Karaoğlan,1,0.00,0.00,1.50,2.28,0,1,1,0,0,0,"","90",1,6,2,0,4,0,1,1,3,1,14,13,6,4,7,7,17,16,44,56,0.00,0.00,1.54,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,3.50,2.90,1.22,1.75,2.77,4.90,1.62,2.20,Corendon Airlines Park (Antalya)
1659975300,Aug 08 2022 - 4:15pm,complete,N/A,İstanbul Başakşehir,Kasımpaşa,Ali Palabiyik,1,0.00,0.00,2.11,1.06,4,0,4,2,2,0,"22,38,74,77","",6,5,2,0,3,0,2,0,1,2,14,12,8,4,5,5,1,0,57,43,0.00,0.00,1.84,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.89,4.25,1.27,1.85,3.25,6.60,1.80,1.91,Başakşehir Fatih Terim Stadyumu (İstanbul)
1659984300,Aug 08 2022 - 6:45pm,complete,N/A,Ankaragücü,Konyaspor,Bahattin Şimşek,1,0.00,0.00,1.22,1.56,0,0,0,0,0,0,"","",6,3,1,0,0,0,0,1,0,0,16,13,5,0,8,10,14,6,47,53,0.00,0.00,1.69,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.45,2.33,1.26,1.85,3.04,5.55,1.73,2.00,Eryaman Stadyumu (Ankara)
1659984300,Aug 08 2022 - 6:45pm,complete,N/A,Fenerbahçe,Ümraniyespor,Yasar Kemal Ugurlu,1,0.00,0.00,2.28,0.94,3,3,6,3,2,1,"19,45'2,90'2","29,67,73",5,5,7,0,2,0,2,5,1,1,20,13,6,7,10,4,14,13,53,47,0.00,0.00,1.95,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.46,8.65,1.17,1.68,2.30,4.50,1.91,1.80,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi (İstanbul)
1660327200,Aug 12 2022 - 6:00pm,complete,N/A,Trabzonspor,Hatayspor,Abdulkadir Bitigen,2,0.00,0.00,2.22,0.39,1,0,1,0,0,0,"71","",11,2,2,0,3,0,1,1,2,1,24,8,8,4,14,4,18,10,48,52,0.00,0.00,2.23,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.56,4.39,1.25,1.73,2.85,5.25,1.82,1.88,Medical Park Stadyumu (Trabzon)
1660407300,Aug 13 2022 - 4:15pm,complete,N/A,Kayserispor,İstanbulspor,Suat Arslanboga,2,0.00,0.00,1.61,1.11,1,0,1,1,1,0,"4","",4,5,3,0,2,0,1,2,0,2,13,18,6,3,4,13,8,10,51,49,0.00,0.00,1.52,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.45,3.45,1.25,1.76,2.96,5.61,1.66,2.10,Kadir Has Şehir Stadı (Kayseri)
